run,status,stage,pid,sft_step,sft_target_steps,pref_step,pref_target_steps,pref_pairs,loss,lr,beta,margin,progress_units,total_units,progress_percent,eta_seconds,checkpoint_eta_seconds,step_rate_per_hour,checkpoint_count,last_checkpoint_stage,last_checkpoint_step,save_every_steps,stale_minutes,out_log,err_log,err_signal,err_summary,out_last_write,err_last_write,launch_hint,command_line
train_v24_adaptive_orpo_trust_0p5b_20260304_215804,stopped,sft,3180,51,460,0,120,0,26.7693,1.14208e-05,,,51.0,580.0,8.793103448275861,,,,2,sft,40,20,1.072112762928009,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_0p5b_20260304_215804.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_0p5b_20260304_215804.err.log,warn,warnings.warn(,2026-03-05 00:43:14,2026-03-04 23:14:39,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v24_adaptive_orpo_trust.ps1,
train_v24_adaptive_orpo_trust_20260304_214922,stopped,distill,3520,0,460,0,120,0,,,,,0.0,580.0,0.0,,,,0,-,0,20,172.02318891684214,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_20260304_214922.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_20260304_214922.err.log,error,"OSError: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.",2026-03-04 21:52:17,2026-03-04 21:52:17,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v24_adaptive_orpo_trust.ps1,
train_v24_adaptive_orpo_trust_20260304_213718,stopped,distill,7272,0,460,0,120,0,,,,,0.0,580.0,0.0,,,,0,-,0,20,185.7105097691218,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_20260304_213718.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_adaptive_orpo_trust_20260304_213718.err.log,error,"RuntimeError: Expected one of cpu, cuda, ipu, xpu, mkldnn, opengl, opencl, ideep, hip, ve, fpga, maia, xla, lazy, vulkan, mps, meta, hpu, mt",2026-03-04 21:38:36,2026-03-04 21:38:36,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v24_adaptive_orpo_trust.ps1,
train_v24_reasoning_20260304_204708,stopped,sft_setup,17208,0,460,0,120,0,,,,,0.0,580.0,0.0,,,,0,-,0,20,234.15198716719945,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_reasoning_20260304_204708.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v24_reasoning_20260304_204708.err.log,ok,-,2026-03-04 20:50:10,2026-03-04 20:50:08,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v24_adaptive_orpo_trust.ps1,
train_v21_smartcreative_20260303_165749,stopped,sft,14044,11,120,0,36,0,5.2702,1.89892e-05,,,11.0,156.0,7.051282051282051,,,,1,sft,10,10,1892.1042726635933,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v21_smartcreative_20260303_165749.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v21_smartcreative_20260303_165749.err.log,ok,-,2026-03-03 17:12:12,2026-03-03 16:59:12,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v21_smartcreative.ps1,
train_v20_fullpeak_20260303_164705,stopped,data,6424,0,40,0,14,0,,,,,0.0,54.0,0.0,,,,0,-,0,,1915.7775092482566,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v20_fullpeak_20260303_164705.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v20_fullpeak_20260303_164705.err.log,ok,-,2026-03-03 16:48:32,2026-03-03 16:47:05,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v20_fullpeak.ps1,
train_v20_fullpeak_20260302_112315,stopped,preference_mining,25408,40,40,0,14,0,4.8442,7.7e-06,,,40.0,54.0,74.07407407407408,,,,0,-,0,,3645.9423502087593,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v20_fullpeak_20260302_112315.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v20_fullpeak_20260302_112315.err.log,ok,-,2026-03-02 11:58:22,2026-03-02 11:58:26,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v20_fullpeak.ps1,
train_v19_fullbest_warm_20260302_002644,stopped,distill,13672,0,32,0,12,0,,,,,0.0,44.0,0.0,,,,0,-,0,,4326.800600401561,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v19_fullbest_warm_20260302_002644.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v19_fullbest_warm_20260302_002644.err.log,ok,-,2026-03-02 00:37:31,2026-03-02 01:09:40,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v19_fullbest.ps1,
train_v19_fullbest_20260302_001449,stopped,distill,8392,0,32,0,12,0,,,,,0.0,44.0,0.0,,,,0,-,0,,4342.6838126381235,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v19_fullbest_20260302_001449.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v19_fullbest_20260302_001449.err.log,ok,-,2026-03-02 00:21:38,2026-03-02 00:21:36,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v19_fullbest.ps1,
train_v18_fullplus_20260302_000930,unknown,unknown,5548,0,16,0,8,0,,,,,0.0,24.0,0.0,,,,0,-,0,,4354.811642587185,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v18_fullplus_20260302_000930.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v18_fullplus_20260302_000930.err.log,ok,-,2026-03-02 00:09:30,2026-03-02 00:09:30,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v18_fullplus.ps1,
train_v17_full_20260301_224708,stopped,distill,25024,0,16,0,8,0,,,,,0.0,24.0,0.0,,,,0,-,0,,4427.503978029887,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v17_full_20260301_224708.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v17_full_20260301_224708.err.log,ok,-,2026-03-01 22:56:48,2026-03-01 23:15:37,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v17_full.ps1,
train_v10_full_20260301,stopped,distill,29940,0,6,0,4,0,,,,,0.0,10.0,0.0,,,,0,-,0,,4923.853518132369,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v10_full_20260301.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v10_full_20260301.err.log,ok,-,2026-03-01 14:40:28,2026-03-01 14:47:08,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v10_smarter.ps1,
train_v7_cleanstyle,finished,done,11436,0,8,0,6,64,,,,,0.0,14.0,0.0,0.0,0.0,,0,-,0,,6462.472193320592,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v7_cleanstyle.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v7_cleanstyle.err.log,warn,warnings.warn(,2026-02-28 13:01:50,2026-02-28 11:57:59,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v7_cleanstyle.ps1,
train_v6_anchor,finished,done,6952,0,12,0,8,96,,,,,0.0,20.0,0.0,0.0,0.0,,0,-,0,,6651.166802815596,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v6_anchor.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v6_anchor.err.log,warn,warnings.warn(,2026-02-28 09:53:09,2026-02-28 08:24:04,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v6_anchor.ps1,
train_v5_quality,finished,done,8020,0,16,0,10,128,,,,,0.0,26.0,0.0,0.0,0.0,,0,-,0,,6755.2990820527075,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v5_quality.out.log,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\train_v5_quality.err.log,warn,warnings.warn(,2026-02-28 08:09:01,2026-02-28 05:49:54,C:\Users\kai99\Desktop\New folder (9)\Supermix_27\source\run_train_qwen_supermix_v5_quality.ps1,
